vibration_hz,motor_current_ma,wheel_slip_ratio,terrain_class
9.29,122.34,0.02,0
93.45,519.83,0.177,2
34.36,341.15,0.057,1
77.09,633.73,0.303,2
42.86,355.34,0.054,1
38.69,355.01,0.066,1
28.49,307.4,0.056,1
77.91,566.92,0.258,2
36.94,435.81,0.087,1
18.24,164.95,0.029,0
7.4,156.75,0.034,0
24.47,410.05,0.088,1
38.46,323.72,0.054,1
23.16,109.24,0.023,0
9.04,138.93,0.011,0
46.87,392.9,0.045,1
85.89,640.05,0.265,2
40.64,365.79,0.046,1
20.52,346.47,0.056,1
38.99,341.46,0.037,1
35.46,351.62,0.041,1
22.74,325.46,0.031,1
38.03,432.25,0.039,1
45.5,393.44,0.056,1
62.92,548.0,0.239,2
39.48,347.77,0.045,1
44.41,387.3,0.021,1
69.94,550.69,0.369,2
83.9,644.62,0.288,2
19.77,145.22,0.034,0
83.14,655.64,0.215,2
5.06,133.83,0.033,0
17.61,139.72,0.014,0
18.87,141.58,0.026,0
19.07,411.68,0.054,1
72.14,639.36,0.182,2
25.33,378.32,0.03,1
55.77,325.77,0.056,1
17.37,164.35,0.003,0
30.32,332.27,0.067,1
50.95,399.53,0.054,1
41.13,293.13,0.063,1
93.79,618.46,0.193,2
79.5,500.87,0.215,2
66.41,483.91,0.4,2
18.31,141.69,0.015,0
86.36,578.67,0.246,2
86.72,637.79,0.184,2
19.5,144.6,0.018,0
14.61,119.7,0.026,0
78.45,689.02,0.174,2
46.61,312.67,0.04,1
68.46,618.41,0.234,2
89.89,642.76,0.322,2
15.49,132.03,0.016,0
73.86,633.68,0.233,2
10.71,130.89,0.007,0
77.94,491.79,0.178,2
68.11,569.28,0.199,2
11.77,134.54,0.031,0
15.34,109.22,0.01,0
37.24,390.96,0.072,1
30.72,391.6,0.08,1
22.75,151.48,0.025,0
19.82,147.75,0.031,0
12.0,162.48,0.021,0
15.02,311.14,0.036,1
8.77,132.77,0.007,0
37.19,322.28,0.046,1
83.59,585.5,0.225,2
78.07,613.18,0.39,2
22.72,414.29,0.029,1
16.14,157.68,0.002,0
16.71,177.34,0.03,0
22.9,175.55,0.012,0
48.92,335.09,0.048,1
10.76,365.73,0.073,1
22.82,169.19,0.016,0
76.83,395.01,0.281,2
53.81,295.21,0.015,1
72.38,581.57,0.288,2
18.91,163.39,0.013,0
25.72,136.96,0.02,0
26.57,116.61,0.015,0
25.1,358.99,0.052,1
75.38,620.02,0.155,2
9.69,144.61,0.024,0
84.04,758.12,0.233,2
38.77,344.12,0.081,1
18.57,121.55,0.031,0
15.86,154.87,0.037,0
13.47,418.09,0.064,1
16.29,152.41,0.0,0
39.36,270.98,0.072,1
10.8,149.63,0.02,0
69.37,530.43,0.206,2
32.59,363.24,0.048,1
6.04,371.47,0.06,1
12.28,129.88,0.036,0
55.06,518.79,0.321,2
41.47,409.63,0.071,1
45.47,356.82,0.029,1
13.07,179.51,0.031,0
36.98,382.71,0.019,1
60.37,733.96,0.363,2
50.31,571.33,0.264,2
13.74,174.02,0.014,0
73.45,761.94,0.211,2
69.21,520.45,0.277,2
85.54,496.54,0.201,2
46.17,301.61,0.057,1
10.46,156.48,0.025,0
67.66,427.73,0.163,2
41.5,326.73,0.083,1
12.41,139.48,0.025,0
14.07,180.65,0.015,0
20.82,156.54,0.006,0
5.24,154.96,0.038,0
36.97,371.55,0.002,1
101.79,682.82,0.299,2
16.21,166.51,0.023,0
9.65,117.87,0.024,0
32.79,305.87,0.033,1
91.22,548.2,0.489,2
6.94,161.41,0.016,0
44.82,401.59,0.082,1
84.31,647.35,0.236,2
82.4,582.14,0.21,2
38.21,362.3,0.046,1
27.46,305.87,0.066,1
62.84,608.15,0.239,2
15.07,161.53,0.013,0
52.95,504.85,0.384,2
41.52,247.84,0.046,1
40.23,352.27,0.052,1
10.9,154.28,0.019,0
23.83,157.42,0.014,0
84.62,608.47,0.193,2
90.62,535.34,0.255,2
1.9,193.06,0.006,0
27.32,175.55,0.024,0
36.5,324.26,0.039,1
34.19,357.39,0.089,1
14.19,141.0,0.004,0
14.04,156.65,0.02,0
28.74,303.2,0.062,1
11.49,123.6,0.009,0
66.77,712.13,0.267,2
17.57,138.46,0.024,0
24.79,417.11,0.06,1
73.2,671.22,0.311,2
34.71,599.55,0.283,2
121.39,646.02,0.336,2
20.6,373.45,0.06,1
28.61,359.63,0.037,1
13.04,173.59,0.026,0
12.67,171.98,0.019,0
56.69,616.58,0.3,2
13.49,139.86,0.005,0
14.42,154.9,0.017,0
34.34,438.42,0.028,1
24.48,165.15,0.038,0
87.7,636.96,0.2,2
48.76,396.94,0.047,1
63.91,659.54,0.279,2
75.08,655.48,0.251,2
13.68,211.58,0.019,0
32.75,279.57,0.035,1
92.01,739.11,0.349,2
40.52,398.33,0.034,1
22.27,156.23,0.018,0
74.45,547.04,0.315,2
71.86,621.27,0.276,2
70.69,594.71,0.072,2
34.52,388.27,0.051,1
11.46,141.35,0.025,0
45.79,367.48,0.048,1
29.98,415.56,0.018,1
68.18,565.06,0.257,2
12.19,150.42,0.021,0
22.62,162.21,0.034,0
91.9,639.86,0.289,2
21.33,140.25,0.012,0
34.74,328.15,0.053,1
50.01,325.78,0.07,1
82.92,602.73,0.246,2
28.18,383.54,0.068,1
18.43,136.75,0.043,0
38.29,338.93,0.087,1
46.73,365.67,0.076,1
52.28,352.58,0.087,1
46.95,342.59,0.043,1
32.56,343.32,0.066,1
17.71,145.96,0.035,0
17.02,137.92,0.015,0
15.34,133.64,0.039,0
38.43,416.9,0.068,1
5.66,160.87,0.034,0
56.24,731.41,0.357,2
89.84,545.94,0.226,2
45.56,596.11,0.309,2
51.14,384.42,0.05,1
22.2,334.83,0.049,1
79.23,673.73,0.417,2
23.57,316.43,0.062,1
20.27,161.26,0.015,0
15.93,142.31,0.01,0
13.36,186.63,0.026,0
40.97,369.64,0.069,1
43.84,290.6,0.059,1
61.48,585.57,0.409,2
25.67,153.64,0.027,0
13.88,134.87,0.026,0
68.83,479.75,0.211,2
30.17,355.95,0.043,1
57.46,658.46,0.226,2
16.16,160.08,0.031,0
19.11,134.65,0.012,0
73.25,620.82,0.229,2
51.42,372.62,0.06,1
12.0,165.42,0.022,0
16.81,151.95,0.0,0
40.95,302.16,0.052,1
10.77,183.74,0.019,0
7.82,183.53,0.012,0
96.9,499.39,0.253,2
31.75,376.93,0.076,1
4.87,132.79,0.036,0
12.35,169.01,0.027,0
97.83,606.83,0.247,2
9.16,152.31,0.022,0
25.95,177.37,0.018,0
87.02,523.68,0.323,2
11.89,132.88,0.031,0
11.69,170.13,0.03,0
17.48,133.42,0.028,0
84.9,452.3,0.169,2
79.09,527.84,0.264,2
67.71,620.9,0.318,2
32.19,346.04,0.03,1
44.64,361.3,0.018,1
10.05,130.7,0.02,0
15.35,120.43,0.02,0
76.12,634.07,0.228,2
14.83,181.02,0.021,0
11.42,155.19,0.016,0
65.9,639.82,0.249,2
77.99,511.08,0.256,2
13.45,144.23,0.02,0
94.3,562.85,0.338,2
10.09,166.59,0.02,0
30.54,316.59,0.03,1
90.62,635.08,0.295,2
16.3,123.91,0.025,0
87.51,563.83,0.23,2
39.4,430.24,0.035,1
76.03,667.12,0.191,2
59.31,545.79,0.281,2
20.69,399.44,0.039,1
12.8,112.58,0.027,0
78.52,657.23,0.34,2
42.46,323.48,0.069,1
56.42,369.46,0.037,1
31.92,300.25,0.027,1
34.18,399.11,0.045,1
12.7,121.04,0.0,0
37.43,287.76,0.075,1
28.19,374.37,0.025,1
43.5,423.04,0.041,1
36.8,378.9,0.022,1
14.7,191.51,0.005,0
16.93,160.78,0.031,0
92.27,605.55,0.356,2
53.4,589.8,0.123,2
15.87,147.15,0.038,0
75.26,715.88,0.093,2
19.88,133.46,0.019,0
80.1,636.97,0.195,2
9.88,143.48,0.038,0
36.04,344.64,0.038,1
7.92,118.11,0.015,0
34.61,397.63,0.059,1
34.28,368.4,0.062,1
82.2,586.98,0.373,2
80.02,648.54,0.202,2
77.55,652.04,0.346,2
11.23,138.48,0.038,0
28.6,172.39,0.026,0
36.91,351.95,0.047,1
43.72,341.86,0.085,1
77.99,463.41,0.151,2
16.48,128.82,0.006,0
17.93,162.91,0.022,0
62.09,574.96,0.142,2
16.62,156.22,0.038,0
49.44,364.96,0.033,1
92.11,576.48,0.274,2
6.96,108.65,0.014,0
34.53,343.08,0.045,1
40.73,362.87,0.035,1
66.99,649.36,0.372,2
45.74,302.5,0.074,1
7.94,147.4,0.022,0
68.56,743.62,0.159,2
89.57,670.59,0.294,2
96.51,450.68,0.415,2
41.35,349.64,0.082,1
84.16,662.31,0.313,2
8.36,158.26,0.007,0
19.14,145.02,0.004,0
13.33,134.06,0.025,0
85.66,528.1,0.14,2
84.01,527.95,0.146,2
67.91,600.54,0.305,2
88.9,627.81,0.253,2
16.47,139.39,0.011,0
17.94,133.0,0.016,0
33.27,365.99,0.031,1
16.57,143.79,0.027,0
12.17,163.72,0.023,0
36.33,375.35,0.045,1
12.58,141.76,0.014,0
34.8,432.46,0.044,1
71.26,722.7,0.141,2
12.77,149.84,0.024,0
16.51,135.03,0.031,0
57.52,365.25,0.069,1
18.13,147.44,0.022,0
31.07,332.82,0.039,1
79.6,423.05,0.206,2
81.39,619.52,0.305,2
73.02,442.39,0.294,2
78.03,793.01,0.334,2
79.62,600.57,0.167,2
34.42,360.74,0.054,1
71.74,602.62,0.277,2
11.4,154.64,0.017,0
92.44,653.27,0.298,2
17.37,129.3,0.022,0
63.41,678.99,0.336,2
10.92,103.96,0.014,0
9.94,163.64,0.021,0
37.17,372.25,0.048,1
16.72,135.63,0.018,0
58.34,627.5,0.224,2
100.62,629.09,0.293,2
38.65,387.11,0.048,1
81.15,662.77,0.344,2
31.51,377.12,0.058,1
8.81,195.41,0.03,0
38.2,357.38,0.063,1
20.44,113.9,0.035,0
9.25,173.16,0.01,0
78.39,523.49,0.163,2
20.36,337.9,0.058,1
70.13,654.69,0.291,2
34.1,356.77,0.065,1
18.4,131.91,0.017,0
5.2,143.57,0.021,0
43.42,557.14,0.318,2
30.54,398.52,0.059,1
38.47,314.61,0.061,1
101.34,510.68,0.294,2
88.33,654.42,0.178,2
100.89,569.98,0.204,2
15.87,180.46,0.009,0
77.04,457.71,0.17,2
82.76,653.5,0.181,2
33.6,378.76,0.072,1
94.48,587.53,0.194,2
83.98,549.66,0.287,2
23.96,332.5,0.036,1
93.89,698.86,0.3,2
20.79,136.01,0.046,0
85.42,554.11,0.22,2
11.6,130.29,0.01,0
47.72,581.71,0.294,2
70.81,571.68,0.268,2
94.47,584.8,0.202,2
14.87,127.51,0.019,0
15.32,117.45,0.036,0
76.63,598.46,0.232,2
10.99,150.94,0.006,0
29.26,371.19,0.021,1
39.24,342.52,0.073,1
25.18,293.27,0.044,1
18.76,151.35,0.019,0
18.06,146.8,0.009,0
16.73,169.1,0.006,0
28.53,319.77,0.034,1
79.86,530.98,0.138,2
17.57,132.72,0.015,0
95.84,391.66,0.276,2
75.44,490.72,0.332,2
12.65,160.94,0.002,0
83.35,615.92,0.324,2
16.04,133.49,0.028,0
39.94,371.66,0.054,1
20.16,155.09,0.032,0
47.78,371.73,0.05,1
75.38,574.41,0.187,2
37.81,325.61,0.084,1
70.25,578.97,0.247,2
79.78,647.08,0.096,2
70.31,585.93,0.177,2
0.0,167.42,0.035,0
72.75,556.47,0.316,2
16.54,130.42,0.021,0
52.36,350.41,0.046,1
16.25,148.75,0.011,0
105.99,499.97,0.289,2
79.6,633.47,0.201,2
25.09,362.35,0.0,1
32.41,351.28,0.056,1
8.4,131.2,0.012,0
8.82,157.33,0.022,0
106.63,732.92,0.183,2
87.58,571.44,0.275,2
95.49,535.13,0.189,2
34.54,359.35,0.065,1
17.6,311.08,0.038,1
19.77,344.81,0.072,1
17.37,137.07,0.028,0
7.99,169.43,0.027,0
81.34,695.4,0.217,2
56.28,573.71,0.315,2
15.92,148.22,0.02,0
82.9,632.69,0.294,2
15.77,146.19,0.027,0
93.43,648.25,0.158,2
13.07,172.88,0.032,0
19.25,156.67,0.032,0
48.99,323.28,0.046,1
22.01,145.02,0.007,0
17.41,154.07,0.026,0
20.42,122.03,0.021,0
37.24,334.47,0.091,1
12.63,161.54,0.023,0
36.98,297.53,0.114,1
96.05,641.8,0.07,2
12.48,114.83,0.012,0
81.63,723.92,0.316,2
35.6,343.0,0.037,1
56.44,718.73,0.486,2
78.67,615.18,0.149,2
49.94,550.62,0.257,2
15.41,165.03,0.031,0
51.77,604.07,0.361,2
61.41,511.99,0.366,2
76.86,614.78,0.366,2
100.41,636.62,0.257,2
82.53,601.8,0.128,2
70.19,599.03,0.281,2
84.2,722.67,0.319,2
50.03,276.55,0.054,1
81.33,612.8,0.271,2
54.14,339.97,0.031,1
7.85,129.84,0.023,0
71.07,499.81,0.181,2
30.41,350.12,0.078,1
35.79,296.11,0.03,1
15.3,119.32,0.015,0
15.23,148.68,0.01,0
65.43,461.94,0.28,2
87.63,651.07,0.316,2
76.78,593.92,0.439,2
28.47,337.34,0.023,1
89.02,523.43,0.226,2
127.07,566.34,0.25,2
11.74,125.78,0.012,0
63.1,628.45,0.35,2
71.57,471.39,0.232,2
36.87,361.16,0.063,1
94.54,591.74,0.187,2
48.17,349.0,0.044,1
82.96,640.14,0.207,2
40.7,321.8,0.08,1
17.22,157.89,0.014,0
101.16,689.15,0.245,2
94.3,653.83,0.248,2
22.93,162.66,0.015,0
30.48,442.77,0.018,1
34.96,318.56,0.059,1
12.64,134.73,0.016,0
59.81,696.96,0.197,2
83.81,601.14,0.328,2
35.77,295.12,0.042,1
28.08,319.2,0.056,1
24.6,319.73,0.045,1
76.88,482.6,0.121,2
77.78,526.06,0.127,2
82.33,568.64,0.322,2
55.89,574.35,0.302,2
65.19,584.72,0.144,2
77.73,625.57,0.302,2
64.58,719.19,0.271,2
79.18,634.94,0.169,2
28.12,380.13,0.047,1
83.94,457.9,0.264,2
34.02,366.78,0.049,1
12.49,153.01,0.027,0
17.52,160.6,0.009,0
88.41,548.68,0.313,2
18.28,126.04,0.027,0
51.33,308.21,0.031,1
8.9,147.06,0.003,0
32.02,376.52,0.048,1
10.55,144.5,0.027,0
95.01,499.19,0.305,2
98.06,493.92,0.125,2
84.28,632.34,0.257,2
80.0,561.69,0.22,2
78.41,671.41,0.177,2
7.68,140.62,0.017,0
18.55,315.98,0.018,1
11.04,166.71,0.02,0
27.46,318.6,0.035,1
88.19,472.15,0.249,2
42.72,349.39,0.076,1
21.77,454.07,0.013,1
90.88,662.67,0.144,2
17.58,138.15,0.022,0
32.53,349.76,0.059,1
41.41,338.39,0.091,1
87.82,698.86,0.176,2
13.82,130.45,0.029,0
13.83,149.58,0.024,0
71.77,613.87,0.147,2
51.6,759.65,0.2,2
104.18,603.27,0.16,2
96.29,567.44,0.15,2
24.04,328.86,0.07,1
66.21,705.7,0.289,2
71.11,709.83,0.189,2
15.03,147.71,0.029,0
75.71,551.97,0.299,2
34.37,350.59,0.054,1
43.95,351.13,0.052,1
55.88,397.43,0.063,1
20.29,121.85,0.019,0
14.93,151.52,0.018,0
16.79,168.52,0.029,0
10.4,180.05,0.03,0
16.88,165.83,0.019,0
70.38,552.2,0.186,2
11.35,162.77,0.007,0
33.04,319.86,0.045,1
19.16,357.68,0.035,1
16.4,166.61,0.026,0
31.8,325.62,0.041,1
99.65,533.19,0.274,2
14.58,449.72,0.0,1
28.99,327.43,0.047,1
44.16,398.02,0.06,1
19.07,115.93,0.037,0
9.47,147.82,0.02,0
39.77,418.47,0.043,1
67.01,533.72,0.231,2
15.5,171.17,0.015,0
89.24,571.22,0.278,2
46.06,371.53,0.06,1
19.06,163.8,0.013,0
6.38,176.11,0.044,0
24.33,147.86,0.025,0
18.69,133.56,0.017,0
42.28,430.54,0.067,1
42.6,337.64,0.034,1
14.64,128.37,0.025,0
89.68,514.32,0.27,2
11.14,160.02,0.023,0
91.31,678.31,0.213,2
11.62,167.15,0.017,0
42.08,327.86,0.039,1
96.89,584.87,0.332,2
72.92,580.24,0.182,2
111.11,548.05,0.324,2
11.54,139.8,0.026,0
74.99,584.73,0.327,2
19.59,146.89,0.014,0
42.05,713.57,0.284,2
6.51,373.17,0.048,1
28.28,246.36,0.044,1
90.06,526.25,0.337,2
15.65,142.97,0.04,0
17.8,188.19,0.015,0
18.94,150.71,0.021,0
45.1,279.57,0.077,1
109.38,680.6,0.16,2
44.25,389.68,0.077,1
97.6,657.58,0.223,2
19.43,323.24,0.074,1
35.89,561.02,0.134,2
17.02,162.46,0.026,0
59.4,373.54,0.033,1
35.27,263.88,0.052,1
14.31,138.8,0.011,0
53.46,547.17,0.282,2
57.91,301.03,0.065,1
13.9,133.21,0.027,0
10.31,140.26,0.017,0
19.11,169.5,0.01,0
74.17,513.13,0.161,2
28.76,337.09,0.047,1
36.2,344.24,0.076,1
29.5,326.94,0.057,1
28.24,345.55,0.051,1
19.84,159.84,0.032,0
29.36,415.14,0.0,1
45.23,326.78,0.045,1
24.3,301.04,0.059,1
96.86,654.35,0.367,2
14.43,127.41,0.027,0
5.43,166.27,0.009,0
37.79,399.91,0.048,1
108.52,630.11,0.192,2
43.77,370.32,0.043,1
15.05,145.62,0.013,0
19.11,162.28,0.02,0
69.58,655.91,0.395,2
89.33,480.28,0.247,2
98.99,471.93,0.274,2
89.53,555.34,0.287,2
38.82,379.68,0.026,1
80.01,522.9,0.304,2
46.08,389.84,0.058,1
65.4,594.27,0.287,2
19.33,178.83,0.024,0
48.84,416.8,0.093,1
21.1,341.64,0.052,1
67.86,486.08,0.219,2
7.43,167.63,0.003,0
70.6,695.53,0.246,2
75.57,639.03,0.277,2
30.06,341.63,0.044,1
104.23,571.4,0.388,2
33.09,403.13,0.072,1
16.66,156.45,0.022,0
44.96,408.85,0.082,1
10.01,344.46,0.083,1
72.86,570.46,0.163,2
79.56,493.57,0.205,2
25.61,173.36,0.014,0
13.87,161.9,0.025,0
50.77,385.8,0.013,1
31.29,357.33,0.073,1
10.13,189.29,0.014,0
16.0,154.71,0.015,0
19.28,179.6,0.022,0
23.42,296.75,0.064,1
83.2,848.79,0.235,2
28.11,372.31,0.048,1
34.63,322.89,0.041,1
34.01,309.41,0.041,1
97.01,593.48,0.231,2
41.45,293.9,0.052,1
92.16,619.72,0.309,2
7.25,126.33,0.022,0
53.77,691.21,0.151,2
98.54,556.14,0.297,2
13.83,174.76,0.018,0
43.41,306.31,0.056,1
16.64,187.52,0.016,0
40.44,290.84,0.03,1
29.45,327.7,0.053,1
13.42,138.46,0.03,0
22.05,348.91,0.03,1
10.45,185.11,0.003,0
75.97,659.27,0.331,2
22.33,151.94,0.012,0
90.45,744.35,0.296,2
22.69,159.96,0.0,0
24.43,128.65,0.007,0
22.21,150.37,0.018,0
92.76,517.65,0.156,2
50.74,336.52,0.042,1
13.29,150.1,0.013,0
